,year,state,level,total_people_by_state_and_level,total_man_by_state_and_level,total_woman_by_state_and_level,total_people_by_state,total_man_by_state,total_woman_by_state,total_people_by_state_and_age_range,total_man_by_state_and_age_range,total_woman_by_state_and_age_range,rate_level
1518,2010,Campeche,M s de 5 hasta 10 s.m.,18440,4509,0,0,0,0,0,0,0,0
1519,2010,Campeche,No especificado,7986,2936,0,0,0,0,0,0,0,0
1520,2010,Campeche,No recibe ingresos,49019,1443,0,0,0,0,0,0,0,0
1521,2010,Chiapas,1 salario m¡nimo,3647,102,0,0,0,0,0,0,0,0
1522,2010,Chiapas,Menos de 1 s.m.,2820576,132668,0,0,0,0,0,0,0,0
1523,2010,Chiapas,M s de 1 hasta 2 s.m.,27274,8397,0,0,0,0,0,0,0,0
1524,2010,Chiapas,M s de 10 s.m.,998641,633847,0,0,0,0,0,0,0,0
1525,2010,Chiapas,M s de 2 hasta 3 s.m.,455485,7983,0,0,0,0,0,0,0,0
1526,2010,Chiapas,M s de 3 hasta 5 s.m.,577050,258775,0,0,0,0,0,0,0,0
1527,2010,Chiapas,M s de 5 hasta 10 s.m.,123636,34024,0,0,0,0,0,0,0,0
1528,2010,Chiapas,No especificado,19745,5536,0,0,0,0,0,0,0,0
1529,2010,Chiapas,No recibe ingresos,252995,3663,0,0,0,0,0,0,0,0
1530,2010,Chihuahua,1 salario m¡nimo,15983,538,0,0,0,0,0,0,0,0
1531,2010,Chihuahua,Menos de 1 s.m.,567172,27591,0,0,0,0,0,0,0,0
1532,2010,Chihuahua,M s de 1 hasta 2 s.m.,26028,2063,0,0,0,0,0,0,0,0
1533,2010,Chihuahua,M s de 10 s.m.,877721,347340,0,0,0,0,0,0,0,0
1534,2010,Chihuahua,M s de 2 hasta 3 s.m.,384495,14291,0,0,0,0,0,0,0,0
1535,2010,Chihuahua,M s de 3 hasta 5 s.m.,1089846,422522,0,0,0,0,0,0,0,0
1536,2010,Chihuahua,M s de 5 hasta 10 s.m.,89515,18015,0,0,0,0,0,0,0,0
1537,2010,Chihuahua,No especificado,58970,16175,0,0,0,0,0,0,0,0
1538,2010,Chihuahua,No recibe ingresos,135793,10872,0,0,0,0,0,0,0,0
1539,2010,Ciudad de Mxico,1 salario m¡nimo,2321,2321,0,0,0,0,0,0,0,0
1540,2010,Ciudad de Mxico,Menos de 1 s.m.,55065,5157,0,0,0,0,0,0,0,0
1541,2010,Ciudad de Mxico,M s de 1 hasta 2 s.m.,53055,8631,0,0,0,0,0,0,0,0
1542,2010,Ciudad de Mxico,M s de 10 s.m.,2875259,1411513,0,0,0,0,0,0,0,0
1543,2010,Ciudad de Mxico,M s de 2 hasta 3 s.m.,845224,62330,0,0,0,0,0,0,0,0
1544,2010,Ciudad de Mxico,M s de 3 hasta 5 s.m.,1959149,712955,0,0,0,0,0,0,0,0
1545,2010,Ciudad de Mxico,M s de 5 hasta 10 s.m.,458185,148121,0,0,0,0,0,0,0,0
1546,2010,Ciudad de Mxico,No especificado,341800,115102,0,0,0,0,0,0,0,0
1547,2010,Ciudad de Mxico,No recibe ingresos,879558,87985,0,0,0,0,0,0,0,0
1548,2010,Coahuila,1 salario m¡nimo,58429,1982,0,0,0,0,0,0,0,0
1549,2010,Coahuila,Menos de 1 s.m.,235083,15141,0,0,0,0,0,0,0,0
1550,2010,Coahuila,M s de 1 hasta 2 s.m.,13556,1503,0,0,0,0,0,0,0,0
1551,2010,Coahuila,M s de 10 s.m.,813185,440078,0,0,0,0,0,0,0,0
1552,2010,Coahuila,M s de 2 hasta 3 s.m.,318699,8820,0,0,0,0,0,0,0,0
1553,2010,Coahuila,M s de 3 hasta 5 s.m.,965169,258521,0,0,0,0,0,0,0,0
1554,2010,Coahuila,M s de 5 hasta 10 s.m.,133337,31859,0,0,0,0,0,0,0,0
1555,2010,Coahuila,No especificado,41630,12265,0,0,0,0,0,0,0,0
1556,2010,Coahuila,No recibe ingresos,155112,8005,0,0,0,0,0,0,0,0
1557,2010,Colima,1 salario m¡nimo,11403,1083,0,0,0,0,0,0,0,0
1558,2010,Colima,Menos de 1 s.m.,147157,17559,0,0,0,0,0,0,0,0
1559,2010,Colima,M s de 1 hasta 2 s.m.,7230,1677,0,0,0,0,0,0,0,0
1560,2010,Colima,M s de 10 s.m.,198273,119122,0,0,0,0,0,0,0,0
1561,2010,Colima,M s de 2 hasta 3 s.m.,104350,5180,0,0,0,0,0,0,0,0
1562,2010,Colima,M s de 3 hasta 5 s.m.,103180,38820,0,0,0,0,0,0,0,0
1563,2010,Colima,M s de 5 hasta 10 s.m.,32814,8906,0,0,0,0,0,0,0,0
1564,2010,Colima,No especificado,11182,4658,0,0,0,0,0,0,0,0
1565,2010,Colima,No recibe ingresos,75014,10425,0,0,0,0,0,0,0,0
1566,2010,Durango,1 salario m¡nimo,38976,2402,0,0,0,0,0,0,0,0
1567,2010,Durango,Menos de 1 s.m.,428351,11787,0,0,0,0,0,0,0,0
1568,2010,Durango,M s de 1 hasta 2 s.m.,13952,3292,0,0,0,0,0,0,0,0
1569,2010,Durango,M s de 10 s.m.,362449,216600,0,0,0,0,0,0,0,0
1570,2010,Durango,M s de 2 hasta 3 s.m.,189906,5236,0,0,0,0,0,0,0,0
1571,2010,Durango,M s de 3 hasta 5 s.m.,355464,101028,0,0,0,0,0,0,0,0
1572,2010,Durango,M s de 5 hasta 10 s.m.,48346,13687,0,0,0,0,0,0,0,0
1573,2010,Durango,No especificado,17412,7520,0,0,0,0,0,0,0,0
1574,2010,Durango,No recibe ingresos,119152,6411,0,0,0,0,0,0,0,0
1575,2010,Estado de Mxico,1 salario m¡nimo,25417,128,0,0,0,0,0,0,0,0
1576,2010,Estado de Mxico,Menos de 1 s.m.,1281096,128513,0,0,0,0,0,0,0,0
1577,2010,Estado de Mxico,M s de 1 hasta 2 s.m.,71243,12662,0,0,0,0,0,0,0,0
1578,2010,Estado de Mxico,M s de 10 s.m.,4635525,2202135,0,0,0,0,0,0,0,0
1579,2010,Estado de Mxico,M s de 2 hasta 3 s.m.,2296994,78431,0,0,0,0,0,0,0,0
1580,2010,Estado de Mxico,M s de 3 hasta 5 s.m.,4372577,1385290,0,0,0,0,0,0,0,0
1581,2010,Estado de Mxico,M s de 5 hasta 10 s.m.,707416,204391,0,0,0,0,0,0,0,0
1582,2010,Estado de Mxico,No especificado,203558,75515,0,0,0,0,0,0,0,0
1583,2010,Estado de Mxico,No recibe ingresos,1647513,137677,0,0,0,0,0,0,0,0
1584,2010,Guanajuato,1 salario m¡nimo,9627,294,0,0,0,0,0,0,0,0
1585,2010,Guanajuato,Menos de 1 s.m.,944095,122558,0,0,0,0,0,0,0,0
1586,2010,Guanajuato,M s de 1 hasta 2 s.m.,41925,1772,0,0,0,0,0,0,0,0
1587,2010,Guanajuato,M s de 10 s.m.,1600254,899881,0,0,0,0,0,0,0,0
1588,2010,Guanajuato,M s de 2 hasta 3 s.m.,625899,18745,0,0,0,0,0,0,0,0
1589,2010,Guanajuato,M s de 3 hasta 5 s.m.,2040650,722460,0,0,0,0,0,0,0,0
1590,2010,Guanajuato,M s de 5 hasta 10 s.m.,234015,57501,0,0,0,0,0,0,0,0
1591,2010,Guanajuato,No especificado,40572,19374,0,0,0,0,0,0,0,0
1592,2010,Guanajuato,No recibe ingresos,182539,17895,0,0,0,0,0,0,0,0
1593,2010,Guerrero,1 salario m¡nimo,4126,94,0,0,0,0,0,0,0,0
1594,2010,Guerrero,Menos de 1 s.m.,1730007,333016,0,0,0,0,0,0,0,0
1595,2010,Guerrero,M s de 1 hasta 2 s.m.,18687,2940,0,0,0,0,0,0,0,0
1596,2010,Guerrero,M s de 10 s.m.,823167,529420,0,0,0,0,0,0,0,0
1597,2010,Guerrero,M s de 2 hasta 3 s.m.,320497,9738,0,0,0,0,0,0,0,0
1598,2010,Guerrero,M s de 3 hasta 5 s.m.,570022,350489,0,0,0,0,0,0,0,0
1599,2010,Guerrero,M s de 5 hasta 10 s.m.,104665,17472,0,0,0,0,0,0,0,0
1600,2010,Guerrero,No especificado,23486,9189,0,0,0,0,0,0,0,0
1601,2010,Guerrero,No recibe ingresos,198632,5901,0,0,0,0,0,0,0,0
1602,2010,Hidalgo,1 salario m¡nimo,14044,1193,0,0,0,0,0,0,0,0
1603,2010,Hidalgo,Menos de 1 s.m.,904164,113928,0,0,0,0,0,0,0,0
1604,2010,Hidalgo,M s de 1 hasta 2 s.m.,9691,1146,0,0,0,0,0,0,0,0
1605,2010,Hidalgo,M s de 10 s.m.,593535,351582,0,0,0,0,0,0,0,0
1606,2010,Hidalgo,M s de 2 hasta 3 s.m.,407499,6675,0,0,0,0,0,0,0,0
1607,2010,Hidalgo,M s de 3 hasta 5 s.m.,608368,264466,0,0,0,0,0,0,0,0
1608,2010,Hidalgo,M s de 5 hasta 10 s.m.,98070,21955,0,0,0,0,0,0,0,0
1609,2010,Hidalgo,No especificado,17690,6851,0,0,0,0,0,0,0,0
1610,2010,Hidalgo,No recibe ingresos,146739,4612,0,0,0,0,0,0,0,0
1611,2010,Jalisco,1 salario m¡nimo,8726,8726,0,0,0,0,0,0,0,0
1612,2010,Jalisco,Menos de 1 s.m.,1278809,128875,0,0,0,0,0,0,0,0
1613,2010,Jalisco,M s de 1 hasta 2 s.m.,41080,11469,0,0,0,0,0,0,0,0
1614,2010,Jalisco,M s de 10 s.m.,2463200,1342973,0,0,0,0,0,0,0,0
1615,2010,Jalisco,M s de 2 hasta 3 s.m.,958016,20606,0,0,0,0,0,0,0,0
1616,2010,Jalisco,M s de 3 hasta 5 s.m.,2273522,784227,0,0,0,0,0,0,0,0
1617,2010,Jalisco,M s de 5 hasta 10 s.m.,392915,97113,0,0,0,0,0,0,0,0
1618,2010,Jalisco,No especificado,102000,29720,0,0,0,0,0,0,0,0
1619,2010,Jalisco,No recibe ingresos,417732,40720,0,0,0,0,0,0,0,0
1620,2010,Michoac n,1 salario m¡nimo,4905,4905,0,0,0,0,0,0,0,0
1621,2010,Michoac n,Menos de 1 s.m.,1459087,153977,0,0,0,0,0,0,0,0
1622,2010,Michoac n,M s de 1 hasta 2 s.m.,20390,1661,0,0,0,0,0,0,0,0
1623,2010,Michoac n,M s de 10 s.m.,1262255,732523,0,0,0,0,0,0,0,0
1624,2010,Michoac n,M s de 2 hasta 3 s.m.,541215,7320,0,0,0,0,0,0,0,0
1625,2010,Michoac n,M s de 3 hasta 5 s.m.,900235,286283,0,0,0,0,0,0,0,0
1626,2010,Michoac n,M s de 5 hasta 10 s.m.,141384,24549,0,0,0,0,0,0,0,0
1627,2010,Michoac n,No especificado,23554,8580,0,0,0,0,0,0,0,0
1628,2010,Michoac n,No recibe ingresos,261230,17763,0,0,0,0,0,0,0,0
1629,2010,Morelos,1 salario m¡nimo,10660,127,0,0,0,0,0,0,0,0
1630,2010,Morelos,Menos de 1 s.m.,356275,31430,0,0,0,0,0,0,0,0
1631,2010,Morelos,M s de 1 hasta 2 s.m.,10202,2913,0,0,0,0,0,0,0,0
1632,2010,Morelos,M s de 10 s.m.,570370,324335,0,0,0,0,0,0,0,0
1633,2010,Morelos,M s de 2 hasta 3 s.m.,310127,5399,0,0,0,0,0,0,0,0
1634,2010,Morelos,M s de 3 hasta 5 s.m.,363387,128315,0,0,0,0,0,0,0,0
1635,2010,Morelos,M s de 5 hasta 10 s.m.,56267,13513,0,0,0,0,0,0,0,0
1636,2010,Morelos,No especificado,22519,8632,0,0,0,0,0,0,0,0
1637,2010,Morelos,No recibe ingresos,131965,7410,0,0,0,0,0,0,0,0
1638,2010,Nacional,1 salario m¡nimo,740570,61218,0,0,0,0,0,0,0,0
1639,2010,Nacional,Menos de 1 s.m.,25463260,2718316,0,0,0,0,0,0,0,0
1640,2010,Nacional,M s de 1 hasta 2 s.m.,719419,127311,0,0,0,0,0,0,0,0
1641,2010,Nacional,M s de 10 s.m.,31953727,17332412,0,0,0,0,0,0,0,0
1642,2010,Nacional,M s de 2 hasta 3 s.m.,14414298,470420,0,0,0,0,0,0,0,0
1643,2010,Nacional,M s de 3 hasta 5 s.m.,28343988,10442061,0,0,0,0,0,0,0,0
1644,2010,Nacional,M s de 5 hasta 10 s.m.,4518729,1122768,0,0,0,0,0,0,0,0
1645,2010,Nacional,No especificado,1458251,517631,0,0,0,0,0,0,0,0
1646,2010,Nacional,No recibe ingresos,7573219,566382,0,0,0,0,0,0,0,0
1647,2010,Nayarit,1 salario m¡nimo,1960,1960,0,0,0,0,0,0,0,0
1648,2010,Nayarit,Menos de 1 s.m.,410819,24144,0,0,0,0,0,0,0,0
1649,2010,Nayarit,M s de 1 hasta 2 s.m.,10273,3275,0,0,0,0,0,0,0,0
1650,2010,Nayarit,M s de 10 s.m.,365883,224677,0,0,0,0,0,0,0,0
1651,2010,Nayarit,M s de 2 hasta 3 s.m.,138722,3916,0,0,0,0,0,0,0,0
1652,2010,Nayarit,M s de 3 hasta 5 s.m.,166603,74116,0,0,0,0,0,0,0,0
1653,2010,Nayarit,M s de 5 hasta 10 s.m.,46632,8532,0,0,0,0,0,0,0,0
1654,2010,Nayarit,No especificado,12252,6330,0,0,0,0,0,0,0,0
1655,2010,Nayarit,No recibe ingresos,53756,2880,0,0,0,0,0,0,0,0
1656,2010,Nuevo Le¢n,1 salario m¡nimo,8085,8085,0,0,0,0,0,0,0,0
1657,2010,Nuevo Le¢n,Menos de 1 s.m.,200436,11832,0,0,0,0,0,0,0,0
1658,2010,Nuevo Le¢n,M s de 1 hasta 2 s.m.,43901,9867,0,0,0,0,0,0,0,0
1659,2010,Nuevo Le¢n,M s de 10 s.m.,1331590,698019,0,0,0,0,0,0,0,0
1660,2010,Nuevo Le¢n,M s de 2 hasta 3 s.m.,741383,36753,0,0,0,0,0,0,0,0
1661,2010,Nuevo Le¢n,M s de 3 hasta 5 s.m.,1695801,476862,0,0,0,0,0,0,0,0
1662,2010,Nuevo Le¢n,M s de 5 hasta 10 s.m.,283326,64654,0,0,0,0,0,0,0,0
1663,2010,Nuevo Le¢n,No especificado,98996,43318,0,0,0,0,0,0,0,0
1664,2010,Nuevo Le¢n,No recibe ingresos,433940,29239,0,0,0,0,0,0,0,0
1665,2010,Oaxaca,1 salario m¡nimo,5744,306,0,0,0,0,0,0,0,0
1666,2010,Oaxaca,Menos de 1 s.m.,2021599,294415,0,0,0,0,0,0,0,0
